#Name,Association,Age (Myr),P (d), Rp (R_Earth),Rp_err (R_Earth),sma (AU),sma_err (AU),Iflux (Earth flux),Iflux_err (Earth flux),Mstar,Mstar_err,Rstar,Rstar_err,Teff,Teff_err
Kepler-1291 b,,,8.630433,1.624004,0.175568,0.0777,0.001233,70.694627,10.128261,0.84,0.05,0.8,0.05,5216.0,108.14
Kepler-1404 b,,,15.931474,1.964167,0.208487,0.116923,0.00232,32.310582,4.887864,0.84,0.05,0.8,0.05,5261.0,104.59
Kepler-1413 b,,,13.182964,1.777626,0.153622,0.103056,0.001636,39.573578,6.234609,0.84,0.05,0.8,0.05,5196.0,117.54
Kepler-1539 b,,,133.303674,2.644493,0.186541,0.481902,0.007649,1.782107,0.242225,0.84,0.04,0.8,0.05,5176.0,57.95
Kepler-1545 b,,,163.692349,2.644493,0.21946,0.552607,0.008772,1.381622,0.229701,0.84,0.05,0.8,0.05,5201.0,136.42
Kepler-1554 b,,,198.088774,2.842007,0.263352,0.627534,0.012451,1.181707,0.203012,0.84,0.06,0.81,0.06,5297.0,102.5
Kepler-1566 b,,,0.539915,0.76811,0.076811,0.012245,0.000194,3004.201554,507.17423,0.84,0.05,0.81,0.06,5254.0,97.81
Kepler-1595 b,,,4.563805,1.20703,0.098757,0.05081,0.000807,163.678668,22.468928,0.84,0.04,0.8,0.05,5203.0,66.07
Kepler-567 b,,,16.542974,2.205573,0.142649,0.119897,0.001903,27.471968,3.691645,0.84,0.04,0.79,0.04,5148.0,106.09
Kepler-600 b,,,23.675176,2.842007,0.384055,0.152263,0.003021,19.800915,3.41814,0.84,0.05,0.81,0.06,5279.0,104.56
Kepler-607 b,,,0.638163,0.855894,0.065838,0.013688,0.000217,2243.091921,332.120655,0.84,0.04,0.8,0.05,5196.0,118.36
Kepler-695 b,,,3.04033,9.019806,0.691299,0.038757,0.000769,276.591927,60.464718,0.84,0.05,0.8,0.06,5181.0,199.46
Kepler-711 b,,,23.589144,3.335792,0.614488,0.151893,0.003617,18.584209,5.096909,0.84,0.06,0.8,0.08,5222.0,236.98
Kepler-712 b,,,21.022477,3.335792,0.131676,0.140665,0.001675,19.456485,1.674172,0.84,0.04,0.78,0.02,5148.0,83.48
Kepler-712 c,,,226.89047,4.751309,0.406001,0.686976,0.008178,0.815745,0.070192,0.84,0.04,0.78,0.02,5148.0,83.48
Kepler-763 b,,,1.196552,1.196057,0.087784,0.020814,0.00033,947.956833,134.299547,0.84,0.04,0.8,0.05,5166.0,93.71
Kepler-78 b,,,0.355007,1.0973,0.10973,0.009259,0.001176,3964.927592,1067.179979,0.84,0.32,0.75,0.03,5089.0,50.0
Kepler-790 b,,,13.734698,2.128762,0.164595,0.105912,0.001681,37.815623,6.336,0.84,0.05,0.8,0.05,5208.0,139.26
Kepler-821 b,,,1.922799,1.283841,0.098757,0.028555,0.000453,513.458314,84.070067,0.84,0.05,0.8,0.05,5191.0,130.91
Kepler-896 b,,,144.547396,2.479898,0.186541,0.508633,0.008074,1.751698,0.235726,0.84,0.05,0.81,0.06,5262.0,56.73
Kepler-967 b,,,13.227134,2.30433,0.098757,0.103286,0.00123,38.854384,3.687768,0.84,0.04,0.8,0.03,5178.0,79.8
Kepler-967 c,,,198.71125,3.577198,0.142649,0.628848,0.007486,1.048168,0.099484,0.84,0.04,0.8,0.03,5178.0,79.8
Qatar-1 b,,,1.420024,12.542139,0.285298,0.02332,0.0004,669.589154,64.167266,0.84,0.04,0.8,0.02,5013.0,93.0
WASP-156 b,,,3.836169,5.59623,0.21946,0.0453,0.0009,147.38438,14.944157,0.84,0.05,0.76,0.03,4910.0,61.0
WASP-53 b,,,3.309844,11.785002,0.406001,0.04101,0.00091,206.332888,16.617673,0.84,0.05,0.8,0.02,4953.0,60.0
WASP-84 b,,,8.523486,10.336566,0.241406,0.0771,0.0012,67.982116,5.295559,0.84,0.04,0.75,0.01,5314.0,88.0
WASP-91 b,,,2.798581,11.30219,0.43892,0.037,0.001,285.199379,31.26756,0.84,0.07,0.86,0.03,4920.0,80.0
HATS-7 b,,,3.185315,6.177799,0.504758,0.04012,0.00043,226.779373,29.837402,0.85,0.03,0.81,0.05,4985.0,50.0
K2-270 b,,,1.543069,1.349679,0.10973,0.0247,0.0002,495.328454,28.019277,0.85,0.02,0.77,0.01,4877.0,58.0
K2-270 c,,,4.400028,2.885899,0.153622,0.0497,0.0004,122.34167,6.917095,0.85,0.02,0.77,0.01,4877.0,58.0
K2-53 b,,,12.20772,2.545736,0.098757,0.098,0.001,47.222185,4.042492,0.85,0.04,0.81,0.02,5263.0,88.0
Kepler-1164 b,,,3.975998,1.0973,0.065838,0.046531,0.000547,187.409081,15.630322,0.85,0.04,0.79,0.02,5183.0,80.28
Kepler-1191 b,,,5.600149,1.481355,0.131676,0.058467,0.001146,137.267402,23.808105,0.85,0.05,0.81,0.06,5308.0,107.78
Kepler-1214 b,,,18.826343,2.315303,0.186541,0.131206,0.001544,23.197148,2.537405,0.85,0.04,0.8,0.04,5130.0,48.18
Kepler-1301 b,,,9.08237,1.371625,0.131676,0.080707,0.001266,65.742175,8.835781,0.85,0.04,0.81,0.05,5188.0,60.07
Kepler-1304 b,,,16.128885,2.238492,0.515731,0.118353,0.001857,32.278749,4.754521,0.85,0.05,0.81,0.05,5259.0,121.88
Kepler-1309 b,,,28.843265,2.315303,0.197514,0.174371,0.003419,14.242753,2.460475,0.85,0.05,0.8,0.06,5235.0,154.88
Kepler-1374 b,,,10.652767,2.238492,0.197514,0.089761,0.00176,58.900517,10.221612,0.85,0.06,0.81,0.06,5323.0,108.36
Kepler-1480 b,,,22.126799,1.634977,0.10973,0.146125,0.002292,19.564555,2.231437,0.85,0.04,0.81,0.04,5156.0,70.65
